Fri Aug 23 10:06:10 CST 2013
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1377223510431,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223515430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223520430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223525430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223530430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223535430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223540430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223545430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223550430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223555430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223560430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223565430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223570430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223575430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223580430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223585430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223590430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223595430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223600430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223605431,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223610430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223615430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223620431,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223625430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223630430,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223635431,5,25,5,0,17,0,0,0,0,0,0,0,0
Fri Aug 23 10:09:53 CST 2013
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1377223733878,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223738878,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223743878,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223748878,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223753878,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223758878,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223763879,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223768878,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223773878,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223778879,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223783878,5,25,5,0,17,0,0,0,0,0,0,0,0
1377223788878,5,25,5,0,17,0,0,0,0,0,0,0,0
